Name,original address,TypeFull,old text,Phone,Start Time,Day,Address,status,street,borough,zip,cb,cwz,lat,lon,BBL,Additional Information,Type,Open Range
FIRST BAPTIST CHURCH (SK),"100-10 Astoria Blvd, East Elmhurst, New York, 11369",Soup Kitchen,ClosedOpens 12:00 PM Wed(718) 446-0200,(718) 446-0200,12:00 PM,Wed,"100-10 Astoria Blvd, East Elmhurst, New York, 11369",OK,100-10 ASTORIA BOULEVARD,QUEENS,11369,403,QN2,40.761943,-73.869101,4016880002,,Soup Kitchen,Noon
FIRST BAPTIST CHURCH OF CORONA (FP),"100-10 Astoria Blvd, East Elmhurst, NY, 11369, USA",Food Pantry,ClosedOpens 12:00 PM Sat(718) 446-0200,(718) 446-0200,12:00 PM,Sat,"100-10 Astoria Blvd, East Elmhurst, NY, 11369, USA",OK,100-10 ASTORIA BOULEVARD,QUEENS,11369,403,QN2,40.761943,-73.869101,4016880002,,Food Pantry,Noon
BRIGADA DE ESPERANZA INC,"89-07 ASTORIA BLVD, QUEENS, NY, 11369",Food Pantry,ClosedOpens 12:00 PM Sat(718) 530-8638,(718) 530-8638,12:00 PM,Sat,"89-07 ASTORIA BLVD, QUEENS, NY, 11369",OK,89-07 ASTORIA BOULEVARD,QUEENS,11369,403,QN2,40.763774,-73.879761,4011010044,,Food Pantry,Noon
NORTHEAST CONFERENCE COMMUNITY CENTER SDA,"99-13 Northern Blvd, East Elmhurst, New York, 11369",Food Pantry,ClosedOpens 11:00 AM Tue(347) 527-2444,(347) 527-2444,11:00 AM,Tue,"99-13 Northern Blvd, East Elmhurst, New York, 11369",OK,99-13 NORTHERN BLVD EAST,QUEENS,11368,403,QN2,40.75726,-73.869266,4014290038,,Food Pantry,Noon
ST. MARK AME CHURCH/THE VOICE OF HAGAR,"95-18 Northern Blvd, Jackson Heights, New York, 11372",Food Pantry,ClosedOpens 12:00 PM Tue(718) 205-0506,(718) 205-0506,12:00 PM,Tue,"95-18 Northern Blvd, Jackson Heights, New York, 11372",OK,95-18 NORTHERN BOULEVARD,QUEENS,11372,403,QN2,40.756866,-73.872861,4017100010,,Food Pantry,Noon
MT. OLIVET GOSPEL CHURCH,"33-27 97th St, Corona, New York, 11368",Food Pantry,ClosedOpens 5:30 PM Wed(718) 478-0780,(718) 478-0780,5:30 PM,Wed,"33-27 97th St, Corona, New York, 11368",OK,33-27 97 STREET,QUEENS,11368,403,QN2,40.756436,-73.871206,4017120019,,Food Pantry,Afternoon
ELMCOR YOUTH & ADULT ACTIVITIES #2 (FP),"33-16 108th St, Corona, New York, 11368",Food Pantry,ClosedOpens 10:00 AM Wed(718) 651-0096,(718) 651-0096,10:00 AM,Wed,"33-16 108th St, Corona, New York, 11368",OK,33-16 108 STREET,QUEENS,11368,403,QN2,40.757429,-73.860938,4017220012,,Food Pantry,Morning
IGLESIA CRISTIANA EVANGELICA,"34-35 96th St, Corona, New York, 11368",Food Pantry,ClosedOpens 11:00 AM Sat(347) 938-9368,(347) 938-9368,11:00 AM,Sat,"34-35 96th St, Corona, New York, 11368",OK,34-35 96 STREET,QUEENS,11368,403,QN2,40.754631,-73.87179,4017300039,,Food Pantry,Noon
CORONA SEVENTH DAY ADVENTIST CHURCH,"35-30 103rd St, Corona, New York, 11368",Food PantrySoup Kitchen,ClosedOpens 12:00 PM Sun(718) 429-7050,(718) 429-7050,12:00 PM,Sun,"35-30 103rd St, Corona, New York, 11368",OK,35-30 103 STREET,QUEENS,11368,403,QN2,40.754481,-73.86503,4017430020,,Food Pantry,Noon
THE SALVATION ARMY QUEENS TEMPLE CORP,"86-07 35th Ave, Jackson Heights, New York, 11372",Food PantrySoup Kitchen,ClosedOpens 1:00 PM(718) 335-3693,(718) 335-3693,1:00 PM,No Info,"86-07 35th Ave, Jackson Heights, New York, 11372",OK,86-07 35 AVENUE,QUEENS,11372,403,QN2,40.752206,-73.880785,4014470035,,Food Pantry,Afternoon
