BIN,BOROUGH,ZIP,HOUSE_NUM,STREET_NAME,BLOCK,LOT,CONFIRMATION_NUM,REPORTING_YEAR,TANK_NUM,INSPECTION_BY_FIRM,INSPECTION_PERFORMED,INSPECTION_DATE,GI_REQ_INTERNAL_STRUCTURE,GI_RESULT_INTERNAL_STRUCTURE,GI_REQ_EXTERNAL_STRUCTURE,GI_RESULT_EXTERNAL_STRUCTURE,GI_REQ_OVERFLOW_PIPES,GI_RESULT_OVERFLOW_PIPES,GI_REQ_ACCESS_LADDERS,GI_RESULT_ACCESS_LADDERS,GI_REQ_AIR_VENTS,GI_RESULT_AIR_VENTS,GI_REQ_ROOF_ACCESS,GI_RESULT_ROOF_ACCESS,SI_REQ_SEDIMENT,SI_RESULT_SEDIMENT,SI_REQ_BIOLOGICAL_GROWTH,SI_RESULT_BIOLOGICAL_GROWTH,SI_REQ_DEBRIS_INSECTS,SI_RESULT_DEBRIS_INSECTS,SI_REQ_RODENT_BIRD,SI_RESULT_RODENT_BIRD,SAMPLE_COLLECTED,LAB_NAME,NYS_CERTIFIED,ANALYTES,COLIFORM,ECOLI,MEET_STANDARDS,DELETED,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,BBL,NTA,BATCH_DATE
1040012,MANHATTAN,10022,320,East 58th Street,1350,40,WTI4424859125,2023,1,Rosenwach Tank Co. LLC,Y,10/17/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.759497,-73.963672,6,5,108,1013500040,Turtle Bay-East Midtown,12/20/2024 12:15
1013497,MANHATTAN,10001,308,West 30th Street,753,7502,WTI4030861374,2023,1,Rosenwach Tank Co. LLC,Y,3/7/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.749918,-73.995886,4,3,97,1007537502,Hudson Yards-Chelsea-Flatiron-Union Square,12/20/2024 12:15
1017220,MANHATTAN,10016,22,East 38 Street,867,55,WTI7371680422,2021,1,American Pipe and Tank,Y,7/13/2021,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,ebs,Y,B,A,A,,No,40.750177,-73.980897,6,4,82,1008670055,Murray Hill-Kips Bay,12/20/2024 12:15
1040855,MANHATTAN,10065,540,Park Avenue,1376,36,WTI3021218138,2024,1,Nalco Company,Y,8/19/2024,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.764308,-73.968796,8,4,11401,1013760036,Upper East Side-Carnegie Hill,12/20/2024 12:15
1016002,MANHATTAN,10018,15,WEST   38 STREET,840,31,WTI4394201632,2020,1,Rosenwach Tank Co. LLC,Y,2/7/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL Analytical,Y,B,A,A,Y,No,40.751306,-73.983524,5,4,84,1008400031,Midtown-Midtown South,12/20/2024 12:15
4009619,QUEENS,11106,34-27,34th St,642,18,WTI2022892081,2021,2,BWSO,Y,1/1/2021,N,,N,,Y,N,Y,N,Y,N,N,,Y,N,Y,N,Y,N,N,,Y,Costa Lab,D,B,A,A,N,Yes,40.758027,-73.925263,1,26,57,4006420018,Astoria,12/20/2024 12:15
3321866,BROOKLYN,11205,456,Dekalb Avenue,1938,1,WTI0228797045,2020,1,Rosenwach Tank Co. LLC,Y,9/9/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL Analytical,Y,B,A,A,Y,No,40.690498,-73.958928,3,35,233,3019380001,Bedford,12/20/2024 12:15
1036223,MANHATTAN,10171,299,Park Avenue,1303,1,WTI7498835858,2023,1,"isseks bros., inc.",Y,5/17/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,"ENVIRONMENTAL BUILDING SOLUTIONS, LLC",Y,B,A,A,,No,40.756456,-73.974495,5,4,92,1013030001,Turtle Bay-East Midtown,12/20/2024 12:15
1040354,MANHATTAN,10022,412,East 55th Street,1366,39,WTI6787475606,2022,1,"isseks bros., inc.",Y,6/7/2022,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Environmental Building Solutions LLC,Y,B,A,A,,No,40.756777,-73.963345,6,4,10601,1013660039,Turtle Bay-East Midtown,12/20/2024 12:15
1035474,MANHATTAN,10022,485,Madison Avenue,1287,52,WTI7575689876,2021,1,Rosenwach Tank Co. LLC,Y,4/24/2021,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.758825,-73.974877,5,4,102,1012870052,Midtown-Midtown South,12/20/2024 12:15
